Coalescence,,Bouncing,,Stretching,,Reflexive,
X,Y,X,Y,X,Y,X,Y
48.44295164,0.044418549,63.01538883,0.813723138,48.58690064,0.615073517,,
49.20245399,0.055302856,67.80066491,0.783924716,50.34513487,0.58521634,,
47.69441684,0.077012715,79.92528361,0.849377445,49.08660932,0.596061477,,
47.94941221,0.08788723,78.66812901,0.865657392,50.33622374,0.54989008,,
51.47753367,0.074368754,77.66185694,0.876507425,35.70140864,0.533301671,,
48.96322446,0.106928647,77.41165987,0.884654743,34.19131508,0.546859317,,
49.99280255,0.18847037,80.1823354,0.868404174,35.70689242,0.555040908,,
47.74582719,0.280818061,80.69164068,0.887435798,33.9459163,0.574028467,,
47.24817493,0.307982315,81.70545293,0.906477215,35.21129657,0.590357375,,
49.0125784,0.302581779,80.44761285,0.920039757,36.22442335,0.606681388,,
50.01747952,0.286296936,79.44202625,0.933607195,36.47804778,0.612121093,,
50.27864414,0.321628093,77.16968845,0.925410916,32.18768208,0.603885644,,
50.53569592,0.340654821,105.688042,0.980312281,34.96795421,0.625678739,,
49.03588443,0.394973536,108.2009802,0.942317579,30.42876238,0.631025416,,
48.03303972,0.419410592,106.6806046,0.915114155,33.21314734,0.669122939,,
50.81125544,0.433051474,104.9155156,0.917797287,35.22637694,0.650140277,,
50.06409158,0.47108045,106.6511293,0.798265757,34.72941015,0.680021935,,
64.17794838,0.422441355,,,36.24361655,0.682768717,,
64.42403263,0.39798961,,,,,,
65.94098091,0.411606011,,,,,,
63.90992905,0.359936153,,,,,,
67.43051033,0.316526227,,,,,,
67.1720876,0.292064689,,,,,,
66.66483874,0.281185278,,,,,,
65.39877301,0.262138965,,,,,,
65.8957398,0.232257306,,,,,,
64.88124207,0.210498485,,,,,,
66.39544847,0.213245267,,,,,,
63.863317,0.17515264,,,,,,
63.60626521,0.156125911,,,,,,
66.88076224,0.13716773,,,,,,
66.6250814,0.123575811,,,,,,
67.62929705,0.104573563,,,,,,
67.37224526,0.085546835,,,,,,
65.59070501,0.023012255,,,,,,
76.18398053,0.017783087,,,,,,
79.46533228,0.025998952,,,,,,
78.46317305,0.053153413,,,,,,
79.73266614,0.08578675,,,,,,
80.50519245,0.148301745,,,,,,
79.24598142,0.156429477,,,,,,
76.47599136,0.175397451,,,,,,
78.24382219,0.183583938,,,,,,
82.54378449,0.229863053,,,,,,
78.25958803,0.246084244,,,,,,
80.03427357,0.281444778,,,,,,
77.51996436,0.314004671,,,,,,
81.05082771,0.311355814,,,,,,
79.04102547,0.343925499,,,,,,
80.81365459,0.371133819,,,,,,
105.2712753,0.328130279,,,,,,
107.2851904,0.311865021,,,,,,
105.2616787,0.290086614,,,,,,
105.2589368,0.279216996,,,,,,
108.7856874,0.260263711,,,,,,
112.0649827,0.260327362,,,,,,
109.285396,0.241251671,,,,,,
107.7711896,0.238504889,,,,,,
107.5148233,0.222195565,,,,,,
107.7492545,0.151547941,,,,,,
108.7541557,0.135263099,,,,,,
109.2552353,0.121685868,,,,,,
107.485348,0.105347167,,,,,,
103.4499777,0.107986232,,,,,,
106.4729067,0.091740559,,,,,,
109.4924084,0.061907863,,,,,,
